root_id,primary_type,additional_types,super_class,flow,side,nt_type,nt_type_score
720575940628908548,CT1,,optic,intrinsic,right,GABA,0.64
720575940603022304,T4a,,optic,intrinsic,left,ACH,0.64
720575940614760338,T5c,,optic,intrinsic,left,ACH,0.55
720575940623986615,T5c,,optic,intrinsic,left,ACH,0.62
720575940603390380,T5c,,optic,intrinsic,left,ACH,0.68
720575940603391778,T5d,,optic,intrinsic,left,ACH,0.47
720575940603392546,T5b,,optic,intrinsic,left,ACH,0.44
720575940603404834,T5d,,optic,intrinsic,left,ACH,0.46
720575940617915933,T5d,,optic,intrinsic,left,ACH,0.48
720575940627705426,T5a,,optic,intrinsic,left,ACH,0.74
720575940603544363,T5d,,optic,intrinsic,left,ACH,0.62
720575940624149685,T5b,,optic,intrinsic,left,ACH,0.52
720575940636249524,T5d,,optic,intrinsic,left,ACH,0.46
720575940623374630,T4a,,optic,intrinsic,left,ACH,0.51
720575940626249930,T5c,,optic,intrinsic,left,ACH,0.65
720575940634369643,T5d,,optic,intrinsic,left,,0.0
720575940635716020,T5d,,optic,intrinsic,left,,0.0
720575940637612144,T5d,,optic,intrinsic,left,ACH,0.65
720575940641234421,T5c,,optic,intrinsic,left,ACH,0.64
720575940654864801,T5a,,optic,intrinsic,left,ACH,0.72
720575940604179372,T5b,,optic,intrinsic,left,ACH,0.57
720575940623999999,T5d,,optic,intrinsic,left,ACH,0.4
720575940604198828,T4a,,optic,intrinsic,left,ACH,0.59
720575940638137065,T5a,,optic,intrinsic,left,ACH,0.76
720575940617910804,T4c,,optic,intrinsic,left,ACH,0.6
720575940644025248,T4c,,optic,intrinsic,left,ACH,0.5
720575940611776113,T5d,,optic,intrinsic,left,,0.0
720575940624617959,T5b,,optic,intrinsic,left,ACH,0.48
720575940626697758,T5c,,optic,intrinsic,left,ACH,0.56
720575940644946980,T5b,,optic,intrinsic,left,ACH,0.48
720575940616332742,T4a,,optic,intrinsic,left,ACH,0.54
720575940622308869,T4c,,optic,intrinsic,left,ACH,0.45
720575940638367834,T4d,,optic,intrinsic,left,ACH,0.46
720575940640974288,T4b,,optic,intrinsic,left,ACH,0.59
720575940604495537,T5d,,optic,intrinsic,left,,0.0
720575940625099597,T5a,,optic,intrinsic,left,ACH,0.74
720575940635868596,T5c,,optic,intrinsic,left,ACH,0.71
720575940614261555,T4c,,optic,intrinsic,left,ACH,0.55
720575940613742317,T4c,,optic,intrinsic,left,ACH,0.54
