FAFB,MANC,MCNS
720575940628908548,10477,10157
720575940603022304,13773,26513
720575940614760338,17423,37795
720575940623986615,20423,44889
720575940603390380,18626,45509
720575940603391778,19156,46863
720575940603392546,26107,56569
720575940603404834,165654,57198
720575940617915933,21582,58569
720575940627705426,11037,59627
720575940603544363,12730,61342
720575940624149685,13499,61726
720575940636249524,14069,62747
720575940623374630,14343,63532
720575940626249930,14902,68059
720575940634369643,16342,68426
720575940635716020,17550,70349
720575940637612144,20436,73631
720575940641234421,20917,74315
720575940654864801,21935,76618
720575940604179372,22966,77532
720575940623999999,25447,78511
720575940604198828,25857,78896
720575940638137065,26167,79188
720575940617910804,28277,79491
720575940644025248,29567,79995
720575940611776113,31171,80362
720575940624617959,34115,83550
720575940626697758,100498,84497
720575940644946980,165364,85599
720575940616332742,165680,87018
720575940622308869,14104,87079
720575940638367834,18753,87529
720575940640974288,21246,88364
720575940604495537,22241,88875
720575940625099597,24149,88886
720575940635868596,24164,89847
720575940614261555,25145,90993
720575940613742317,26358,91215
720575940638678854,32357,91228
720575940606014566,37220,91404
720575940614448337,102019,93005
720575940617366155,11951,93324
720575940617777337,12810,93438
720575940635242853,13077,93695
720575940638711878,13192,94680
720575940639163364,13298,95018
720575940615459487,13540,95445
720575940627470760,14080,95630
720575940604731569,14106,95892
720575940609306819,16037,96172
720575940626487226,17137,96323
720575940637290659,18858,97383
720575940638291827,19058,97937
720575940616479965,19603,98440
720575940624717053,20271,98828
720575940604781490,20572,99209
720575940604807392,20695,99288
720575940604809184,21711,99705
720575940604812465,21811,99876
720575940621992820,23379,100270
720575940630673623,23515,100907
720575940635633271,23555,101086
720575940630971589,24103,101269
720575940604912608,24541,101415
720575940632668753,25862,102491
720575940615028341,25987,102562
720575940616333457,26487,102827
720575940604959712,26760,103090
720575940635747064,27116,103862
720575940604965548,28912,105196
720575940624940132,29285,105248
720575940608632329,35407,105963
720575940627056202,100824,106423
720575940605018540,156615,106940
720575940625916444,171637,107178
720575940605681073,196542,107373
720575940629788098,22578,109298
720575940622006554,159210,109561
720575940627958534,15893,109733
720575940630342615,19632,109736
720575940633918489,21367,109749
720575940660165505,21894,110242
720575940605073376,28129,110478
720575940605087404,40244,111166
720575940622349388,154934,111358
720575940625991994,156368,111953
720575940605113056,24139,112591
720575940605140396,25674,112629
720575940620952948,29487,113284
720575940612916338,152301,113747
720575940614216702,24132,114512
720575940617075798,24146,114975
720575940630620985,24526,115272
720575940632093068,26989,115851
720575940605204960,34004,116918
720575940625113580,44882,116937
720575940615970060,157429,117062
720575940621266017,159252,118498
720575940621642630,165227,118542
720575940622574972,13229,119644
720575940625975795,13490,119983
720575940620497279,15185,121387
720575940615753099,16093,121482
720575940617299003,17740,121636
720575940629345383,19561,122229
720575940621381723,20097,124506
720575940623380749,20446,124683
720575940635172975,21023,125152
720575940605426562,21785,125497
720575940613550061,22116,126235
720575940617234059,22540,126461
720575940626296337,23390,127137
720575940631217751,23531,127631
720575940624317367,25595,127715
720575940629921730,26544,128651
720575940641343733,29674,129273
720575940615578783,30887,131345
720575940617963934,40659,131458
720575940623647880,42482,133680
720575940623762701,47109,134218
720575940641346805,103459,134629
720575940646659380,158453,138035
720575940614093279,15335,140409
720575940621705754,24818,143075
720575940622330444,25760,145849
720575940627651093,102212,149213
720575940645029911,18921,151842
720575940605338336,19044,151961
720575940615061666,19100,154656
720575940620657543,20593,154713
720575940620914017,22882,158151
720575940627408773,27122,161703
720575940625026637,34347,162760
720575940628144714,34542,163014
720575940628577167,44845,163397
720575940632485945,100294,165844
720575940620700190,158326,170023
720575940628339912,178721,172690
720575940628420552,13019,178161
720575940608972739,21903,183154
720575940615105130,22358,183676
720575940624446717,22934,194530
720575940634372600,24352,196557
720575940635630584,26566,220109
720575940636849509,37584,259833
720575940619863431,102603,533828
720575940629124355,159648,534262
720575940629477627,18216,543737
720575940620031111,35423,544332
720575940630245431,42680,544493
720575940631876153,13201,544526
720575940637450864,13701,545105
720575940635947700,13072,545219
720575940624454664,29808,545248
720575940614255341,102935,545721
720575940618305108,152478,547797
720575940620656775,12016,547827
720575940622431582,15791,548581
720575940634880412,17964,548750
720575940646966819,18539,549121
720575940631173906,19771,549253
720575940605613926,19969,550699
720575940608419676,20579,550789
720575940620754285,21052,551592
720575940621906312,22151,551752
720575940623114948,23364,575854
720575940632520495,30244,580817
720575940629606394,33858,88509
720575940633668322,47642,93672
720575940617205590,17728,95130
720575940630011434,26588,99888
720575940646783267,28012,100183
720575940629181739,101160,100903
720575940630451415,156376,106102
720575940618908062,26408,107994
720575940630195326,30261,109958
720575940637407814,12702,123395
720575940605676646,15051,131513
720575940605686956,17688,157808
720575940611079010,23231,168553
720575940614341954,27039,171052
720575940631821672,100599,198492
720575940620657428,153483,513351
720575940623159134,17070,545497
720575940605737318,22718,550611
720575940623049752,27239,27951
720575940624817726,31091,27389
720575940639455696,32699,34230
720575940639999139,36719,43109
720575940644933655,42242,53928
720575940616704596,22774,61827
720575940620075686,24337,62317
720575940640566845,24693,63393
720575940617826397,25515,63796
720575940619058772,28847,64630
720575940619987659,39228,64751
720575940614932191,41353,65553
720575940622530892,19929,66110
720575940631306255,26690,68848
720575940620152199,33073,68875
720575940620124513,38657,69638
720575940627633992,22103,71607
720575940637694692,24978,73962
720575940630254583,166171,76652
720575940618881950,32253,77550
720575940622610183,35735,78530
720575940605813350,100871,79425
720575940614677702,14223,81977
720575940617099125,14450,84804
720575940623381453,20310,87498
720575940628823811,21597,90582
720575940638180186,25639,93037
720575940623683255,26315,93242
720575940629701246,32986,94548
720575940613317859,36124,94871
720575940621439216,166401,95372
720575940619763915,166505,95595
720575940614695599,16762,96773
720575940616298290,23975,97126
720575940618040404,43375,97281
720575940627179913,16897,97394
720575940611281870,18254,98284
720575940619934680,19744,98804
720575940632178503,166374,98842
720575940614816150,20942,99841
720575940626906686,24300,99891
720575940631103094,27710,99999
720575940635592372,31871,100118
720575940642508429,165366,100192
720575940605908326,35432,100416
720575940620865473,19305,101523
720575940605938110,21132,101935
720575940617953793,24094,102848
720575940622031130,21972,103164
720575940623305229,14430,103230
720575940625148199,16885,103641
720575940626311461,24911,103914
720575940627998632,25008,103964
720575940644320928,25875,104434
720575940605955174,37211,105236
720575940617645213,37836,105624
720575940635698936,38223,105769
720575940631980136,43848,106324
720575940613110442,101123,107023
720575940624934328,102332,107278
720575940628810570,21262,107399
720575940632680855,25885,107793
720575940605985382,48980,108397
720575940619431047,23698,109113
720575940639544373,27733,109605
720575940626543893,19260,109679
720575940643146788,162970,109954
720575940611239378,22013,110319
720575940628234312,14339,110441
720575940622341363,20551,110779
720575940626501378,24213,110934
720575940632150412,30709,110995
720575940640224600,14085,111485
720575940606053566,16497,111642
720575940616595165,154803,113360
720575940619260795,21315,113370
720575940620440199,27499,113732
720575940622843113,30927,113862
720575940640096419,51546,113919
720575940621731056,28049,114143
720575940634732439,23386,114149
720575940638428479,158961,114805
720575940625867466,29717,115557
720575940645635875,21925,115861
720575940620702703,24900,116219
720575940627844117,29241,116301
720575940629599350,29301,116373
720575940612008154,29418,116489
720575940624483592,29691,116547
720575940612507885,19145,116742
720575940625044715,163596,117033
720575940633731423,13478,117125
720575940606104254,14871,117158
720575940606106801,37492,118476
720575940632426660,30304,118492
720575940634222687,101736,120615
720575940644143982,16102,120753
720575940623805674,20830,121292
720575940626539010,47439,121657
720575940636247141,26196,122401
720575940627056113,29227,122556
720575940631020027,24828,123392
720575940619997269,36453,123727
720575940628211219,38070,124054
720575940607415817,23222,124139
720575940617108786,153640,124145
720575940620191764,157002,124253
720575940639605107,26658,125054
720575940640707536,25173,125727
720575940607599305,32283,125950
720575940613034202,25805,127335
720575940631350287,25475,128087
720575940632887085,28584,128824
720575940630946647,23508,131774
720575940638535502,37504,132122
720575940606192049,30497,132367
720575940623271306,31524,132475
720575940606213664,24878,132478
720575940608209842,34862,132974
720575940612686834,156505,132983
720575940613262870,25172,133934
720575940617509947,41301,135023
720575940618343252,21088,135355
720575940623729190,17028,135367
720575940621682164,15894,135539
720575940608720597,167919,136018
720575940612492211,13401,136491
720575940612863283,39475,137822
