FAFB,MAOL,MCNS
720575940628908548,10046,10157
720575940603022304,33080,26513
720575940614760338,46227,37795
720575940623986615,49150,44889
720575940603390380,49331,45509
720575940603391778,49691,46863
720575940603392546,50223,56569
720575940603404834,50742,57198
720575940617915933,51765,58569
720575940627705426,53194,59627
720575940603544363,53617,61342
720575940624149685,54131,61726
720575940636249524,54643,62747
720575940623374630,57860,63532
720575940626249930,58313,68059
720575940634369643,58380,68426
720575940635716020,58544,70349
720575940637612144,59004,73631
720575940641234421,59350,74315
720575940654864801,59668,76618
720575940604179372,59759,77532
720575940623999999,60027,78511
720575940604198828,60357,78896
720575940638137065,61181,79188
720575940617910804,61419,79491
720575940644025248,61719,79995
720575940611776113,62091,80362
720575940624617959,62130,83550
720575940626697758,62584,84497
720575940644946980,62825,85599
720575940616332742,63101,87018
720575940622308869,64084,87079
720575940638367834,64347,87529
720575940640974288,64832,88364
720575940604495537,64844,88875
720575940625099597,65004,88886
720575940635868596,65214,89847
720575940614261555,65411,90993
720575940613742317,66777,91215
720575940638678854,66867,91228
720575940606014566,66981,91404
720575940614448337,67546,93005
720575940617366155,67811,93324
720575940617777337,67825,93438
720575940635242853,69305,93695
720575940638711878,69840,94680
720575940639163364,71455,95018
720575940615459487,76118,95445
720575940627470760,76252,95630
720575940604731569,77310,95892
720575940609306819,77361,96172
720575940626487226,77386,96323
720575940637290659,78190,97383
720575940638291827,79781,97937
720575940616479965,79828,98440
720575940624717053,80095,98828
720575940604781490,80142,99209
720575940604807392,80501,99288
720575940604809184,80670,99705
720575940604812465,80881,99876
720575940621992820,81041,100270
720575940630673623,81301,100907
720575940635633271,81327,101086
720575940630971589,81734,101269
720575940604912608,81812,101415
720575940632668753,81831,102491
720575940615028341,82003,102562
720575940616333457,82162,102827
720575940604959712,82250,103090
720575940635747064,82299,103862
720575940604965548,82959,105196
720575940624940132,82963,105248
720575940608632329,82979,105963
720575940627056202,83060,106423
720575940605018540,83545,106940
720575940625916444,83686,107178
720575940605681073,83954,107373
720575940629788098,83973,109298
720575940622006554,83979,109561
720575940627958534,84264,109733
720575940630342615,84318,109736
720575940633918489,84478,109749
720575940660165505,84878,110242
720575940605073376,84918,110478
720575940605087404,85026,111166
720575940622349388,85077,111358
720575940625991994,85140,111953
720575940605113056,85429,112591
720575940605140396,85695,112629
720575940620952948,85793,113284
720575940612916338,85889,113747
720575940614216702,86027,114512
720575940617075798,86195,114975
720575940630620985,86371,115272
720575940632093068,86416,115851
720575940605204960,86558,116918
720575940625113580,86617,116937
720575940615970060,86786,117062
720575940621266017,87010,118498
720575940621642630,87098,118542
720575940622574972,87196,119644
720575940625975795,87208,119983
720575940620497279,87349,121387
720575940615753099,87381,121482
720575940617299003,87429,121636
720575940629345383,87479,122229
720575940621381723,87520,124506
720575940623380749,87894,124683
720575940635172975,87925,125152
720575940605426562,87994,125497
720575940613550061,88095,126235
720575940617234059,88148,126461
720575940626296337,88149,127137
720575940631217751,88167,127631
720575940624317367,88320,127715
720575940629921730,88410,128651
720575940641343733,88475,129273
720575940615578783,88621,131345
720575940617963934,88659,131458
720575940623647880,88713,133680
720575940623762701,88743,134218
720575940641346805,88815,134629
720575940646659380,88816,138035
720575940614093279,88850,140409
720575940621705754,88880,143075
720575940622330444,88930,145849
720575940627651093,88933,149213
720575940645029911,88934,151842
720575940605338336,89059,151961
720575940615061666,89062,154656
720575940620657543,89092,154713
720575940620914017,89147,158151
720575940627408773,89167,161703
720575940625026637,89177,162760
720575940628144714,89309,163014
720575940628577167,89417,163397
720575940632485945,89422,165844
720575940620700190,89429,170023
720575940628339912,89535,172690
720575940628420552,89693,178161
720575940608972739,89764,183154
720575940615105130,89825,183676
720575940624446717,89845,194530
720575940634372600,89892,196557
720575940635630584,89953,220109
720575940636849509,89954,259833
720575940619863431,89963,533828
720575940629124355,90016,534262
720575940629477627,90097,543737
720575940620031111,90120,544332
720575940630245431,90133,544493
720575940631876153,90171,544526
720575940637450864,90258,545105
720575940635947700,90311,545219
720575940624454664,90340,545248
720575940614255341,90371,545721
720575940618305108,90419,547797
720575940620656775,90590,547827
720575940622431582,90609,548581
720575940634880412,90645,548750
720575940646966819,90688,549121
720575940631173906,90719,549253
720575940605613926,90733,550699
720575940608419676,90824,550789
720575940620754285,90842,551592
720575940621906312,90877,551752
720575940623114948,90976,575854
720575940632520495,91014,580817
720575940629606394,91034,88509
720575940633668322,91288,93672
720575940617205590,91345,95130
720575940630011434,91388,99888
720575940646783267,91392,100183
720575940629181739,91410,100903
720575940630451415,91443,106102
720575940618908062,91510,107994
720575940630195326,91732,109958
720575940637407814,91856,123395
720575940605676646,91933,131513
720575940605686956,91972,157808
720575940611079010,92000,168553
720575940614341954,92010,171052
720575940631821672,92082,198492
720575940620657428,92114,513351
720575940623159134,92141,545497
720575940605737318,92251,550611
720575940623049752,92258,27951
720575940624817726,92356,27389
720575940639455696,92412,34230
720575940639999139,92439,43109
720575940644933655,92577,53928
720575940616704596,92588,61827
720575940620075686,92592,62317
720575940640566845,92650,63393
720575940617826397,92660,63796
720575940619058772,92755,64630
720575940619987659,92805,64751
720575940614932191,92820,65553
720575940622530892,92891,66110
720575940631306255,92954,68848
720575940620152199,93021,68875
720575940620124513,93107,69638
720575940627633992,93130,71607
720575940637694692,93271,73962
720575940630254583,93407,76652
720575940618881950,93455,77550
720575940622610183,93487,78530
720575940605813350,93499,79425
720575940614677702,93556,81977
720575940617099125,93630,84804
720575940623381453,93668,87498
720575940628823811,93673,90582
720575940638180186,93676,93037
720575940623683255,93679,93242
720575940629701246,93685,94548
720575940613317859,93720,94871
720575940621439216,93737,95372
720575940619763915,93750,95595
720575940614695599,93751,96773
720575940616298290,93781,97126
720575940618040404,93804,97281
720575940627179913,93826,97394
720575940611281870,93879,98284
720575940619934680,93923,98804
720575940632178503,94103,98842
720575940614816150,94133,99841
720575940626906686,94138,99891
720575940631103094,94199,99999
720575940635592372,94283,100118
720575940642508429,94290,100192
720575940605908326,94344,100416
720575940620865473,94357,101523
720575940605938110,94443,101935
720575940617953793,94567,102848
720575940622031130,94703,103164
720575940623305229,94720,103230
720575940625148199,94743,103641
720575940626311461,94831,103914
720575940627998632,94934,103964
720575940644320928,94953,104434
720575940605955174,94973,105236
720575940617645213,94975,105624
720575940635698936,95029,105769
720575940631980136,95171,106324
720575940613110442,95182,107023
720575940624934328,95227,107278
720575940628810570,95322,107399
720575940632680855,95435,107793
720575940605985382,95458,108397
720575940619431047,95470,109113
720575940639544373,95531,109605
720575940626543893,95564,109679
720575940643146788,95614,109954
720575940611239378,95666,110319
720575940628234312,95679,110441
720575940622341363,95798,110779
720575940626501378,95811,110934
720575940632150412,95813,110995
720575940640224600,95824,111485
720575940606053566,95838,111642
720575940616595165,95870,113360
720575940619260795,95902,113370
720575940620440199,95925,113732
720575940622843113,95937,113862
720575940640096419,95995,113919
720575940621731056,96016,114143
720575940634732439,96151,114149
720575940638428479,96169,114805
720575940625867466,96215,115557
720575940645635875,96240,115861
720575940620702703,96265,116219
720575940627844117,96394,116301
720575940629599350,96424,116373
720575940612008154,96565,116489
720575940624483592,96725,116547
720575940612507885,96726,116742
720575940625044715,96778,117033
720575940633731423,96821,117125
720575940606104254,96828,117158
720575940606106801,96884,118476
720575940632426660,96953,118492
720575940634222687,97086,120615
720575940644143982,97102,120753
720575940623805674,97168,121292
720575940626539010,97268,121657
720575940636247141,97287,122401
720575940627056113,97306,122556
720575940631020027,97359,123392
720575940619997269,97408,123727
720575940628211219,97453,124054
720575940607415817,97529,124139
720575940617108786,97559,124145
720575940620191764,97595,124253
720575940639605107,97599,125054
720575940640707536,97629,125727
720575940607599305,97635,125950
720575940613034202,97640,127335
720575940631350287,97646,128087
720575940632887085,97660,128824
720575940630946647,97703,131774
720575940638535502,97731,132122
720575940606192049,97790,132367
720575940623271306,97792,132475
720575940606213664,97853,132478
720575940608209842,97877,132974
720575940612686834,97939,132983
720575940613262870,98010,133934
720575940617509947,98027,135023
720575940618343252,98078,135355
720575940623729190,98099,135367
720575940621682164,98117,135539
720575940608720597,98139,136018
720575940612492211,98448,136491
720575940612863283,98534,137822
720575940613674280,98585,138844
720575940617170978,98663,138888
720575940617997917,98886,140359
720575940620569537,98949,141798
720575940621091425,98965,142086
720575940621332596,99046,143608
720575940625054460,99075,143672
720575940625297916,99146,144070
720575940628800784,99166,144516
720575940629385342,99174,144611
720575940630299434,99235,144775
720575940630334940,99268,147500
720575940632878649,99286,147733
720575940626158384,99310,149451
720575940626215568,99316,149608
720575940630729580,99348,149698
720575940627733125,99474,150842
720575940639176576,99514,156156
720575940639737934,99537,156698
720575940606281574,99709,158177
720575940606296497,99736,158530
720575940606336614,100105,162515
720575940619973323,100195,162553
720575940606340286,100261,162609
720575940630606137,100323,164044
720575940623621926,100342,164446
720575940619285163,100396,166164
720575940609287945,100414,171310
720575940612117978,100422,172002
720575940620816299,100430,175285
720575940621956212,100442,176280
720575940625954341,100512,176579
720575940626364734,100520,179772
720575940638097892,100618,180198
720575940621651233,100688,182201
720575940630081280,100745,199036
720575940613547501,100760,203290
720575940616715421,100774,205135
720575940617841297,100946,214833
