MANC,MAOL,MCNS
10477,10046,10157
13773,33080,26513
17423,46227,37795
20423,49150,44889
18626,49331,45509
19156,49691,46863
26107,50223,56569
165654,50742,57198
21582,51765,58569
11037,53194,59627
12730,53617,61342
13499,54131,61726
14069,54643,62747
14343,57860,63532
14902,58313,68059
16342,58380,68426
17550,58544,70349
20436,59004,73631
20917,59350,74315
21935,59668,76618
22966,59759,77532
25447,60027,78511
25857,60357,78896
26167,61181,79188
28277,61419,79491
29567,61719,79995
31171,62091,80362
34115,62130,83550
100498,62584,84497
165364,62825,85599
165680,63101,87018
14104,64084,87079
18753,64347,87529
21246,64832,88364
22241,64844,88875
24149,65004,88886
24164,65214,89847
25145,65411,90993
26358,66777,91215
32357,66867,91228
37220,66981,91404
102019,67546,93005
11951,67811,93324
12810,67825,93438
13077,69305,93695
13192,69840,94680
13298,71455,95018
13540,76118,95445
14080,76252,95630
14106,77310,95892
16037,77361,96172
17137,77386,96323
18858,78190,97383
19058,79781,97937
19603,79828,98440
20271,80095,98828
20572,80142,99209
20695,80501,99288
21711,80670,99705
21811,80881,99876
23379,81041,100270
23515,81301,100907
23555,81327,101086
24103,81734,101269
24541,81812,101415
25862,81831,102491
25987,82003,102562
26487,82162,102827
26760,82250,103090
27116,82299,103862
28912,82959,105196
29285,82963,105248
35407,82979,105963
100824,83060,106423
156615,83545,106940
171637,83686,107178
196542,83954,107373
22578,83973,109298
159210,83979,109561
15893,84264,109733
19632,84318,109736
21367,84478,109749
21894,84878,110242
28129,84918,110478
40244,85026,111166
154934,85077,111358
156368,85140,111953
24139,85429,112591
25674,85695,112629
29487,85793,113284
152301,85889,113747
24132,86027,114512
24146,86195,114975
24526,86371,115272
26989,86416,115851
34004,86558,116918
44882,86617,116937
157429,86786,117062
159252,87010,118498
165227,87098,118542
13229,87196,119644
13490,87208,119983
15185,87349,121387
16093,87381,121482
17740,87429,121636
19561,87479,122229
20097,87520,124506
20446,87894,124683
21023,87925,125152
21785,87994,125497
22116,88095,126235
22540,88148,126461
23390,88149,127137
23531,88167,127631
25595,88320,127715
26544,88410,128651
29674,88475,129273
30887,88621,131345
40659,88659,131458
42482,88713,133680
47109,88743,134218
103459,88815,134629
158453,88816,138035
15335,88850,140409
24818,88880,143075
25760,88930,145849
102212,88933,149213
18921,88934,151842
19044,89059,151961
19100,89062,154656
20593,89092,154713
22882,89147,158151
27122,89167,161703
34347,89177,162760
34542,89309,163014
44845,89417,163397
100294,89422,165844
158326,89429,170023
178721,89535,172690
13019,89693,178161
21903,89764,183154
22358,89825,183676
22934,89845,194530
24352,89892,196557
26566,89953,220109
37584,89954,259833
102603,89963,533828
159648,90016,534262
18216,90097,543737
35423,90120,544332
42680,90133,544493
13201,90171,544526
13701,90258,545105
13072,90311,545219
29808,90340,545248
102935,90371,545721
152478,90419,547797
12016,90590,547827
15791,90609,548581
17964,90645,548750
18539,90688,549121
19771,90719,549253
19969,90733,550699
20579,90824,550789
21052,90842,551592
22151,90877,551752
23364,90976,575854
30244,91014,580817
33858,91034,88509
47642,91288,93672
17728,91345,95130
26588,91388,99888
28012,91392,100183
101160,91410,100903
156376,91443,106102
26408,91510,107994
30261,91732,109958
12702,91856,123395
15051,91933,131513
17688,91972,157808
23231,92000,168553
27039,92010,171052
100599,92082,198492
153483,92114,513351
17070,92141,545497
22718,92251,550611
27239,92258,27951
31091,92356,27389
32699,92412,34230
36719,92439,43109
42242,92577,53928
22774,92588,61827
24337,92592,62317
24693,92650,63393
25515,92660,63796
28847,92755,64630
39228,92805,64751
41353,92820,65553
19929,92891,66110
26690,92954,68848
33073,93021,68875
38657,93107,69638
22103,93130,71607
24978,93271,73962
166171,93407,76652
32253,93455,77550
35735,93487,78530
100871,93499,79425
14223,93556,81977
14450,93630,84804
20310,93668,87498
21597,93673,90582
25639,93676,93037
26315,93679,93242
32986,93685,94548
36124,93720,94871
166401,93737,95372
166505,93750,95595
16762,93751,96773
23975,93781,97126
43375,93804,97281
16897,93826,97394
18254,93879,98284
19744,93923,98804
166374,94103,98842
20942,94133,99841
24300,94138,99891
27710,94199,99999
31871,94283,100118
165366,94290,100192
35432,94344,100416
19305,94357,101523
21132,94443,101935
24094,94567,102848
21972,94703,103164
14430,94720,103230
16885,94743,103641
24911,94831,103914
25008,94934,103964
25875,94953,104434
37211,94973,105236
37836,94975,105624
38223,95029,105769
43848,95171,106324
101123,95182,107023
102332,95227,107278
21262,95322,107399
25885,95435,107793
48980,95458,108397
23698,95470,109113
27733,95531,109605
19260,95564,109679
162970,95614,109954
22013,95666,110319
14339,95679,110441
20551,95798,110779
24213,95811,110934
30709,95813,110995
14085,95824,111485
16497,95838,111642
154803,95870,113360
21315,95902,113370
27499,95925,113732
30927,95937,113862
51546,95995,113919
28049,96016,114143
23386,96151,114149
158961,96169,114805
29717,96215,115557
21925,96240,115861
24900,96265,116219
29241,96394,116301
29301,96424,116373
29418,96565,116489
29691,96725,116547
19145,96726,116742
163596,96778,117033
13478,96821,117125
14871,96828,117158
37492,96884,118476
30304,96953,118492
101736,97086,120615
16102,97102,120753
20830,97168,121292
47439,97268,121657
26196,97287,122401
29227,97306,122556
24828,97359,123392
36453,97408,123727
38070,97453,124054
23222,97529,124139
153640,97559,124145
157002,97595,124253
26658,97599,125054
25173,97629,125727
32283,97635,125950
25805,97640,127335
25475,97646,128087
28584,97660,128824
23508,97703,131774
37504,97731,132122
30497,97790,132367
31524,97792,132475
24878,97853,132478
34862,97877,132974
156505,97939,132983
25172,98010,133934
41301,98027,135023
21088,98078,135355
17028,98099,135367
15894,98117,135539
167919,98139,136018
13401,98448,136491
39475,98534,137822
