BANC,FAFB,MANC
720575941604964030,720575940622338742,19198
720575941441579867,720575940619071005,12000
720575941431427832,720575940637136752,17312
720575941537986275,720575940637623780,16401
720575941447716116,720575940640541091,11855
720575941450502222,720575940640803200,18906
720575941470432887,720575940610161091,19968
720575941472995168,720575940628059978,19005
720575941496984448,720575940640415859,13410
720575941498871777,720575940621542747,17622
720575941515011907,720575940621585279,14648
720575941486832646,720575940612347571,15160
720575941633855931,720575940646576436,18502
720575941534007128,720575940605758142,14363
720575941537959651,720575940648633988,19637
720575941551975679,720575940612637554,14048
720575941515892995,720575940629792732,19923
720575941535087704,720575940622650879,20582
720575941603666617,720575940660217729,17125
720575941568914164,720575940613804259,16569
720575941574107643,720575940630225403,14799
720575941496262855,720575940616758322,17239
720575941449920605,720575940616908177,100556
720575941688907638,720575940624832743,18436
720575941519327086,720575940623137997,14547
720575941477854785,720575940617299131,18272
720575941671349671,720575940614956072,17915
720575941536605160,720575940622726271,13322
