BANC,FAFB,MAOL
720575941604964030,720575940622338742,14878
720575941441579867,720575940619071005,10687
720575941431427832,720575940637136752,10451
720575941537986275,720575940637623780,10443
720575941447716116,720575940640541091,11918
720575941450502222,720575940640803200,15680
720575941470432887,720575940610161091,14646
720575941472995168,720575940628059978,12727
720575941496984448,720575940640415859,13190
720575941498871777,720575940621542747,14822
720575941515011907,720575940621585279,10825
720575941486832646,720575940612347571,12740
